ACTUALNAME,DESTINATIONLOOKUP
NTPC DEEPANJALINAGAR,NTPC DEEPANJALINAGAR
NTPC VISAKHAPATNAM,NTPC VISAKHAPATNAM
NUNAPARTI,NUNAPARTI
OLD BUS STAND (NARSIPATNAM),OLD BUS STAND (NARSIPATNAM)
OLD BUS STAND (VENKANNAPALEM),VENKANNAPALEM
OLD BUS STAND (VENKANNAPALEM),OLD BUS STAND (VENKANNAPALEM)
OLD BYPUREDDYPALEM,OLD BYPUREDDYPALEM
OLD CBI,OLD CBI
OLD DAIRY FARM,OLD DAIRY FARM
OLD DAIRY FARM,ADARSH NAGAR
OLD GAJUWAKA,OLD GAJUWAKA
OLD GAJUWAKA MAINROAD,OLD GAJUWAKA
OLD HEAD POST OFFICE (OHPO),OLD HEAD POST OFFICE (OHPO)
ONE TOWN,ONE TOWN
ONE TOWN (TOWARDS OHPO),ONE TOWN
PADERU - RTC COMPLEX,PADERU - RTC COMPLEX
PADMANABHAM,PADMANABHAM
PALAVALASA,PALAVALASA
PANCHADARLA,PANCHADARLA
PANDRANGI,PANDRANGI
PANTHULUGARI MEDA,PANTHULUGARI MEDA
PARADESIPALEM,PARADESIPALEM
PARAWADA,PARAWADA
PARAWADA CINEMA HALL,PARAWADA CINEMA HALL
PARAWADA MRO OFFICE,PARAWADA MRO OFFICE
PARAWADA SUB STATION,PARAWADA SUB STATION
PATHA KOVVADA,PATHA KOVVADA
PAVANI MEDICALS,PAVANI MEDICALS
PEDA NARAVA,PEDA NARAVA
PEDABAYALU,PEDABAYALU
PEDAGADHILI,PEDAGADHILI
PEDAGANTYADA,PEDAGANTYADA
PEDAMUSIDIVADA,PEDAMUSIDIVADA
PEDAMUSIDIVADA HIGHWAY,PEDAMUSIDIVADA
PEDARAOPALLI,PEDARAOPALLI
PEDDA RUSHIKONDA,PEDDA RUSHIKONDA
PEDDA WALTAIR,PEDDA WALTAIR
PEDDA WALTAIR (TOWARDS MENTAL HOSPITAL),PEDDA WALTAIR
PEDDAPALEM,PEDDAPALEM
PEDDIPALEM,PEDDIPALEM
PENDURTHI,PENDURTHI
PENDURTHI (NARSIPATNAM ROAD),PENDURTHI (NARSIPATNAM ROAD)
PENDURTHI GENERAL HOSPITAL,PENDURTHI GENERAL HOSPITAL
